score,dtype,eps,temperature,unique_scores,nonempty_bins,max_bin_count
max_proba,float16,0.0009765625,0.2,88,88,4852.0
max_proba,float16,0.0009765625,0.3,121,121,4785.0
max_proba,float16,0.0009765625,0.5,184,184,4629.0
max_proba,float16,0.0009765625,0.7,245,245,4422.0
max_proba,float16,0.0009765625,1.0,319,319,2038.0
max_proba,float16,0.0009765625,1.5,478,478,287.0
max_proba,float16,0.0009765625,2.0,646,645,76.0
max_proba,float32,1.1920928955078125e-07,0.2,234,234,4712.0
max_proba,float32,1.1920928955078125e-07,0.3,343,343,4551.0
max_proba,float32,1.1920928955078125e-07,0.5,603,603,3701.0
max_proba,float32,1.1920928955078125e-07,0.7,1097,1097,114.0
max_proba,float32,1.1920928955078125e-07,1.0,3686,3655,7.0
max_proba,float32,1.1920928955078125e-07,1.5,4906,4790,3.0
max_proba,float32,1.1920928955078125e-07,2.0,4986,4967,2.0
max_proba,float64,2.220446049250313e-16,0.2,669,232,4146.0
max_proba,float64,2.220446049250313e-16,0.3,2367,345,4454.0
max_proba,float64,2.220446049250313e-16,0.5,5000,615,3566.0
max_proba,float64,2.220446049250313e-16,0.7,5000,1243,62.0
max_proba,float64,2.220446049250313e-16,1.0,5000,3914,5.0
max_proba,float64,2.220446049250313e-16,1.5,5000,4891,2.0
max_proba,float64,2.220446049250313e-16,2.0,5000,4974,2.0
gini,float16,0.0009765625,0.2,90,90,4852.0
gini,float16,0.0009765625,0.3,121,121,4785.0
gini,float16,0.0009765625,0.5,190,190,4629.0
gini,float16,0.0009765625,0.7,246,246,4422.0
gini,float16,0.0009765625,1.0,349,349,2038.0
gini,float16,0.0009765625,1.5,538,538,287.0
gini,float16,0.0009765625,2.0,750,749,74.0
gini,float32,1.1920928955078125e-07,0.2,234,234,4712.0
gini,float32,1.1920928955078125e-07,0.3,344,344,4551.0
gini,float32,1.1920928955078125e-07,0.5,603,603,3701.0
gini,float32,1.1920928955078125e-07,0.7,1097,1097,114.0
gini,float32,1.1920928955078125e-07,1.0,3791,3791,7.0
gini,float32,1.1920928955078125e-07,1.5,4981,4981,2.0
gini,float32,1.1920928955078125e-07,2.0,4995,4995,2.0
gini,float64,2.220446049250313e-16,0.2,669,669,4146.0
gini,float64,2.220446049250313e-16,0.3,2367,2367,94.0
gini,float64,2.220446049250313e-16,0.5,5000,5000,1.0
gini,float64,2.220446049250313e-16,0.7,5000,5000,1.0
gini,float64,2.220446049250313e-16,1.0,5000,4999,2.0
gini,float64,2.220446049250313e-16,1.5,5000,4999,2.0
gini,float64,2.220446049250313e-16,2.0,5000,4998,2.0
margin,float16,0.0009765625,0.2,92,89,4852.0
margin,float16,0.0009765625,0.3,131,127,4785.0
margin,float16,0.0009765625,0.5,211,202,4629.0
margin,float16,0.0009765625,0.7,281,269,4422.0
margin,float16,0.0009765625,1.0,375,356,2038.0
margin,float16,0.0009765625,1.5,566,533,235.0
margin,float16,0.0009765625,2.0,759,718,64.0
margin,float32,1.1920928955078125e-07,0.2,252,237,4703.0
margin,float32,1.1920928955078125e-07,0.3,375,359,4528.0
margin,float32,1.1920928955078125e-07,0.5,693,659,3440.0
margin,float32,1.1920928955078125e-07,0.7,1460,1376,49.0
margin,float32,1.1920928955078125e-07,1.0,4416,4247,4.0
margin,float32,1.1920928955078125e-07,1.5,4968,4949,2.0
margin,float32,1.1920928955078125e-07,2.0,4993,4991,2.0
margin,float64,2.220446049250313e-16,0.2,712,237,4703.0
margin,float64,2.220446049250313e-16,0.3,2985,361,4524.0
margin,float64,2.220446049250313e-16,0.5,5000,670,3266.0
margin,float64,2.220446049250313e-16,0.7,5000,1414,47.0
margin,float64,2.220446049250313e-16,1.0,5000,4151,5.0
margin,float64,2.220446049250313e-16,1.5,5000,4924,3.0
margin,float64,2.220446049250313e-16,2.0,5000,4974,2.0
